english;polish
Danish;duński
dank;zawilgocony
Danube;Dunaj
Danubian;dunajski
dapper;zadbany
dappled;cętkowany
daring;odważny
dark;ciemny
darken;zaciemniać się
darkness;ciemność
darkroom;ciemnia
darling;ukochany
darn;cerować
dart;gnać
darts;gra w strzałki
dash;pędzić
dashboard;tablica rozdzielcza
dashing;dziarski
data;dane
database;baza danych
date;data
dated;przestarzały
daub;rozmazywać
daughter;córka
daunt;odstraszać
dawdle;guzdrać się
dawdler;guzdrała
day;dzień
daybreak;brzask
daydream;marzenia
daylight;światło dzienne
daytime;pora dzienna
day-to-day;codzienny
daze;oszałamiać
dazzle;olśniewać
dbl.;podwójny
DC;prąd stały
deacon;diakon
deaden;zagłuszać
deadline;termin ostateczny
deadlock;pat
deadly;śmiertelny
deadpan;śmiertelnie poważny
deadweight;przygniatający ciężar
deaf;głuchy
deafen;ogłuszać
deaf-mute;głuchoniemy
deal;wymierzać
dealer;kupiec
dealing;postępowanie
dean;dziekan
dear;drogi
dearly;z całego serca
dearth;niedostatek
death;śmierć
deathly;śmiertelny
debar;zakazywać
debase;obniżać
debatable;dyskusyjny
debauched;rozpustny
debauchery;rozpusta
debilitate;osłabiać
debit;obciążać
debonair;elegancki
debris;odłamki
debt;dług
debtor;dłużnik
debunk;demaskować
debut;debiut
Dec.;grudzień
dec.;zmarły
decade;dekada
decadent;zdeprawowany
decaffeinated;pozbawiony kofeiny
decagram;dekagram
decanter;karafka
decapitate;ucinać głowę
decathlon;dziesięciobój
decay;gnić
deceased;zmarły
deceit;oszustwo
deceitful;podstępny
deceive;oszukiwać
December;grudzień
decency;przyzwoitość
decent;przyzwoity
decentralize;decentralizować
deception;podstęp
deceptive;podstępny
decibel;decybel
decide;decydować się
deciduous;liściasty
decimal;dziesiętny
decimate;dziesiątkować
decipher;odszyfrowywać
decision;decyzja
decisive;decydujący
deck;piętro
deckchair;leżak
deckhand;majtek
declaim;deklamować
declamation;deklamacja
declaration;wyznanie
declare;oznajmiać
decline;zmniejszać się
declutch;wyłączać sprzęgło
decode;dekodować
decompose;rozkładać się
decomposition;rozkład
décor;wykończenie
decorate;ozdabiać
decoration;ozdoba
decorative;ozdobny
decorous;obyczajny
decorum;obyczajność
decoy;przynęta
decrease;zmniejszać się
decree;zarządzać
decrepit;rozpadający się
decry;potępiać
dedicate;poświęcać się
dedicated;oddany
dedication;ofiarność
deduce;dedukować
deduct;odejmować
deduction;dedukcja
deed;czyn
deem;sądzić
deep;głęboki
deepen;pogłębiać
deep-seated;zakorzeniony
deer;jeleń
deface;szpecić
defamation;zniesławienie
defeat;zwyciężać
defecate;wypróżniać się
defect;defekt
defection;odłączenie się
defective;wadliwy
defector;uciekinier
defence;obrona
defenceless;bezbronny
defend;bronić
defendant;pozwany
defensive;obronny
defer;odkładać
deference;względy
deferential;pełen szacunku
defiance;wyzwanie
defiant;wyzywający
deficiency;niedostatek
deficient;nieefektywny
deficit;deficyt
defile;kalać
define;definiować
definite;określony
definitely;z pewnością
definition;definicja
definitive;ostateczny
deflate;wypuszczać powietrze
deflect;odwracać
deform;deformować
deformity;deformacja
defrost;odmrażać się
deft;zgrabny
defunct;zmarły
defuse;rozładowywać
deg.;stopień
degenerate;przeradzać się
degradation;poniżenie
degrade;poniżać
degree;stopień
dehydrate;wysuszać się
deign;raczyć
deity;bóstwo
dejected;przygnębiony
dejection;przygnębienie
dekagram;dekagram
Delaware;Delaware
delay;opóźniać
delectable;rozkoszny
delegate;delegat
delegation;delegacja
delete;usuwać
deliberate;rozmyślny
deliberation;rozważanie
delicacy;delikatność
delicate;delikatny
delicious;wyborny
delight;zachwyt
delightful;zachwycający
delimiter;ogranicznik
delinquency;przestępczość młodocianych
delinquent;przestępczy
delirious;majaczący
delirium;majaczenie
deliver;dostarczać
delivery;doręczanie poczty
delude;łudzić się
deluge;potop
delusion;złudzenie
de luxe;luksusowy
delve;wgłębiać się
Dem.;demokrata
demand;domagać się
demarcation;demarkacja
demean;poniżać się
demeanour;zachowanie się
demented;szalony
demise;zgon
demobilization;demobilizacja
demobilize;demobilizować
democracy;demokracja
democrat;demokrata
democratic;demokratyczny
demolish;burzyć
demolition;zburzenie
demon;demon
demonic;demoniczny
demonstrate;wykazywać
demonstration;demonstracja
demonstrative;wylewny
demoralize;demoralizować
demote;degradować
demur;sprzeciwiać się
demure;układny
den;nora
denial;odmowa
denigrate;niesłusznie ganić
denim;dżins
Denmark;Dania
denomination;wyznanie
denote;określać
denounce;oskarżać
dense;gęsty
density;gęstość
dent;wginać
dental;zębny
dentist;dentysta
dentures;sztuczne szczęki
denude;ogołacać
denunciation;krytyka
deny;zaprzeczać
deodorant;dezodorant
depart;odjeżdżać
departed;miniony
department;instytut
departure;odjazd
depend;zależeć
dependable;niezawodny
dependant;osoba na czyimś utrzymaniu
dependence;zależność
dependent;zależny
depict;przedstawiać
depiction;przedstawienie
deplete;wyczerpywać
deplorable;żałosny
deplore;potępiać
deploy;rozmieszczać w gotowości
deport;deportować
deportation;deportacja
deportment;zachowanie się
depose;usuwać ze stanowiska
deposit;osadzać się
depot;skład
depraved;zdemoralizowany
depreciate;tracić na wartości
depreciation;dewaluacja
depress;deprymować
depressed;przygnębiony
depression;depresja
deprive;pozbawiać
deprived;pozbawiony wszystkiego
dept.;wydział
depth;głębokość
deputation;delegacja
deputize;zastępować
deputy;zastępca
derail;wykolejać
deranged;szalony
derby;derby
derelict;opuszczony
deride;wyśmiewać
derision;szyderstwo
derisory;śmiesznie mały
derivation;pochodzenie
derivative;pochodny
derive;pochodzić
dermatitis;zapalenie skóry
derogatory;negatywny
derrick;dźwig
descend;zniżać się
descendant;potomek
descent;zejście w dół
describe;opisywać
description;opis
descriptive;opisowy
desecrate;bezcześcić
desert;pustynia
deserter;dezerter
deserve;zasługiwać
designation;mianowanie
designer;projektant
desirable;wskazany
desire;chcieć
desirous;pragnący
desist;zaniechać
desk;biurko
desktop;stołowy
desolate;bezludny
desolation;wyludnienie
despair;rozpacz
desperate;doprowadzony do ostateczności
desperation;desperacja
despicable;podły
despise;pogardzać
despite;pomimo
despondent;zniechęcony
despot;despota
despotic;despotyczny
dessert;deser
destination;miejsce przeznaczenia
destined;przeznaczony
destiny;przeznaczenie
destitute;bez środków do życia
destitution;nędza
destroy;niszczyć
destroyer;niszczyciel
destruction;zniszczenie
destructive;niszczycielski
desultory;zniechęcony
detach;odczepiać
detachable;zdejmowalny
detached;wolno stojący
detachment;niezależność
detail;szczegół
detain;zatrzymywać
detect;wyczuwać
detection;wykrywanie
detective;detektyw
détente;odprężenie
detention;zatrzymanie
deter;odwodzić
detergent;detergent
deteriorate;pogarszać się
deterioration;pogarszanie się
determination;determinacja
determine;determinować
determined;zdecydowany
deterrent;środek odstraszający
detest;nie cierpieć
detestable;nienawistny
detonate;detonować
detour;objazd
detract;umniejszać
detriment;ze szkodą dla kogoś
detrimental;szkodliwy
deuce;równowaga
devaluation;dewaluacja
devalue;nie doceniać
devastate;dewastować
develop;rozwijać się
developer;przedsiębiorca budowlany
development;rozwój
deviant;odbiegający od normy
deviate;odchodzić
deviation;dewiacja
device;urządzenie
devil;szatan
devilish;diabelski
devious;pokrętny
devise;obmyślać
devoid;pozbawiony
devolution;przekazanie uprawnień
devolve;przechodzić
devote;poświęcać
devoted;oddany
devotee;zapaleniec
devotion;oddanie
devour;pożerać
devout;pobożny
dew;rosa
dexterous;sprawny
diabetes;cukrzyca
diabetic;cukrzyk
diabolical;diaboliczny
diag.;wykres
diagnose;diagnozować
diagnosis;diagnoza
diagonal;poprzeczny
diagram;wykres
dial;tarcza
dialect;dialekt
dialogue;dialog
diameter;średnica
diametrically;diametralnie
diamond;diament
diaper;pielucha
diaphragm;przepona
diarrhoea;biegunka
diary;dziennik
dice;kostka do gry
dicey;ryzykowny
dichotomy;dychotomia
dictate;dyktować
dictation;dyktowanie
dictator;dyktator
dictatorial;dyktatorski
dictatorship;dyktatura
diction;dykcja
dictionary;słownik
didactic;dydaktyczny
diesel;diesel
diet;pożywienie
diff.;różnica
difference;różnica
different;różny
differential;zróżnicowany
differentiate;rozróżniać
difficult;trudny
difficulty;trudność
diffident;płochliwy
diffuse;rozpraszać się
dig;kopać
digest;trawić
digestion;trawienie
digit;cyfra
digital;cyfrowy
dignified;dystyngowany
dignify;przydawać godności
dignitary;dostojnik
dignity;dostojeństwo
digress;robić dygresję
digression;dygresja
dike;grobla
dilapidated;zniszczony
dilate;rozszerzać się
dilemma;dylemat
diligent;pracowity
dilute;rozcieńczać
dim;ciemny
dime;dziesięciocentówka
dimension;aspekt
diminish;zmniejszać się
diminutive;miniaturowy
dimple;dołek
din;harmider
dine;jeść obiad
diner;gość w restauracji
dinghy;ponton
dingy;obskurny
dining room;jadalnia
dinner;obiad
dinosaur;dinozaur
diocese;diecezja
Dip.;dyplom
dip;zanurzać
diphtheria;dyfteryt
diphthong;dyftong
diploma;dyplom
diplomacy;dyplomacja
diplomat;dyplomata
diplomatic;dyplomatyczny
dire;skrajny
direct;bezpośredni
direction;kierunek
directive;wytyczna
director;dyrektor
directory;spis
dirt;brud
dirty;brudny
disability;inwalidztwo
disable;okaleczać
disabled;kaleki
disadvantage;strona ujemna
disadvantageous;niekorzystny
disagree;nie zgadzać się
disagreeable;nieprzyjemny
disagreement;niezgoda
disallow;oddalać
disappear;znikać
disappearance;zniknięcie
disappoint;rozczarowywać
disappointed;rozczarowany
disappointment;rozczarowanie
disapproval;dezaprobata
disapprove;przyjmować z dezaprobatą
disarm;rozbrajać się
disarmament;rozbrojenie
disarray;być w chaosie
disaster;klęska
disastrous;katastrofalny
disband;rozwiązywać się
disbelief;niewiara
disbelieve;nie dawać wiary
disc;krążek
discard;pozbywać się
discern;dostrzegać
discerning;przenikliwy
discharge;zwalniać
disciple;uczeń
disciplinary;dyscyplinarny
discipline;dyscyplina
disclaim;wypierać się
disclose;ujawniać
disclosure;ujawnienie
disco;dyskoteka
discolour;odbarwiać się
discomfort;dolegliwość
disconcert;peszyć
disconcerting;kłopotliwy
disconnect;rozłączać
disconnected;niespójny
disconsolate;posępny
discontent;niezadowolenie
discontented;niezadowolony
discontinue;przerywać
discord;niezgoda
discordant;niezgodny
discotheque;dyskoteka
discount;obniżka
discourage;zniechęcać
discourse;rozprawa
discover;odkrywać
discovery;odkrycie
discredit;dyskredytować
discreet;dyskretny
discrepancy;rozbieżność
discretion;dyskrecja
discriminate;rozróżniać
discriminating;wnikliwy
discrimination;dyskryminacja
discursive;rozwlekły
discus;dysk
discuss;omawiać
discussion;dyskusja
disdain;wzgarda
disease;choroba
diseased;chory
disembark;wyładowywać
disenchanted;rozczarowany
disenchantment;rozczarowanie
disengage;odłączać się
disentangle;rozplątywać
disfavour;dezaprobata
disfigure;zniekształcać
disgrace;hańba
disgraceful;haniebny
disgruntled;sarkający
disguise;przebranie
disgust;odraza
disgusting;obrzydliwy
dishcloth;ścierka do naczyń
disheartened;zniechęcony
dishevelled;rozczochrany
dishonest;nieuczciwy
dishonour;hańba
dishwasher;zmywarka do naczyń
disillusion;rozczarowywać
disillusionment;rozczarowanie
disinfect;dezynfekować
diskette;dyskietka
dislike;nie cierpieć
dislocate;zwichnąć
dislodge;przemieszczać
disloyal;nielojalny
dismal;ponury
dismantle;rozbierać na części
dismay;przerażenie
dismember;rozczłonkowywać
dismiss;odrzucać
dismissal;zwolnienie
dismount;zsiadać
disobedience;nieposłuszeństwo
disobedient;nieposłuszny
disobey;nie słuchać się
disorder;bałagan
disorderly;nieporządny
disorganized;zdezorganizowany
disorientated;zdezorientowany
disown;wyrzekać się
disparage;dyskredytować
disparity;różnica
dispassionate;bezstronny
dispatch;odprawiać
dispel;rozwiewać
dispensable;zbyteczny
dispensary;apteka
dispensation;zgoda
dispense;udzielać
dispenser;automat
dispensing chemist;aptekarz
disperse;rozpraszać się
dispirited;przygnębiony
displace;wypierać
display;wystawiać
displease;oburzać
displeasure;niezadowolenie
disposable;jednorazowego użytku
disposal;pozbywanie się
disposed;skłonny
dispose of;pozbywać się
disposition;usposobienie
dispossess;wywłaszczać
disproportionate;nieproporcjonalny
disprove;obalać
dispute;nieporozumienie
disqualify;dyskwalifikować
disquiet;zaniepokojenie
disregard;lekceważyć
disrepair;zaniedbany
disreputable;o złej reputacji
disrepute;dyskredytować coś
disrespect;brak szacunku
disrupt;przerywać
dissatisfaction;niezadowolenie
dissatisfied;niezadowolony
dissect;robić sekcję
disseminate;rozpowszechniać
dissension;niesnaski
dissent;odstępstwo
dissenter;dysydent
dissertation;dysertacja
disservice;szkoda
dissident;dysydent
dissimilar;odmienny
dissipate;rozpraszać się
dissociate;odcinać się
dissolute;rozwiązły
dissolution;rozwiązanie
dissuade;odwodzić
distance;odległość
distant;odległy
distaste;niesmak
distasteful;odstręczający
distended;wydęty
distil;destylować
distillery;gorzelnia
distinct;odrębny
distinction;rozróżnienie
distinctive;wyróżniający się
distinguish;rozróżniać
distinguishable;rozróżnialny
distinguished;wybitny
distort;zniekształcać się
distract;odciągać
distracted;rozproszony
distraction;roztargnienie
distraught;podekscytowany
distress;cierpienie
distribute;rozprowadzać
distribution;rozkład
district;dzielnica
distrust;nie mieć zaufania do kogoś
distrustful;nieufny
disturb;przeszkadzać
disturbance;zamieszki
disturbed;niezrównoważony
disturbing;niepokojący
disuse;nieużywanie
disused;opuszczony
ditch;rów
dither;wahać się
divan;otomana
dive;wskakiwać
diver;nurek
diverge;rozchodzić się
diverse;odmienny
diversify;rozszerzać zakres
diversion;rozrywka
diversity;różnorodność
divert;kierować
divide;dzielić się
dividend;dywidenda
divine;boski
diving board;trampolina
divinity;boskość
divisible;podzielny
division;podział
divisive;dzielący
divorce;rozwód
divorcé;rozwiedziony
divorcée;rozwiedziona
divulge;odkrywać
DIY;zrób to sam
dizziness;zawroty głowy
dizzy;oszałamiający
docile;potulny
dock;dok
doctor;doktor
doctrinaire;doktryner
doctrine;doktryna
document;dokument
documentary;program dokumentalny
documentation;dokumentacja
doddle;łatwizna
dodge;uskakiwać przed kimś
dodgy;dziurawy
doe;samica
dog;pies
dog-collar;obroża
dog-eared;z oślimi uszami
dogged;zacięty
dogma;dogmat
dogmatic;dogmatyczny
dogsbody;popychadło
doing;praca
do-it-yourself;majsterkowanie
doldrums;w zastoju
dole;zasiłek
doleful;żałosny
doll;lalka
dollar;dolar
dolled up;wysztafirowany
dollop;kupka
dolphin;delfin
domain;domena
dome;kopuła
domestic;krajowy
domesticate;oswajać
domesticity;domatorstwo
domicile;miejsce stałego zamieszkania
dominance;dominacja
dominant;dominujący
dominate;zdominowywać
domineering;despotyczny
dominion;dominacja
domino;domino
don;wykładowca
donate;przekazywać
donation;donacja
done;zakończone na amen
donkey;osioł
donor;dawca
doodle;mazać
doom;zguba
doomed;skazany na zgubę
door;drzwi
doorbell;dzwonek do drzwi
doorknob;klamka
doormat;wycieraczka
doorstep;stopień przy drzwiach
door-to-door;od bramy do bramy
doorway;przejście
dope;narkotyk
dopey;zamroczony
dormant;uśpiony
dormitory;sypialnia
dosage;dawka
dose;doza
doss down;uwalić się do snu
dossier;dossier
dot;kropka
dote;ubóstwiać
dot-matrix;mozaikowy
dotted;kropkowany
dotty;stuknięty
double;podwójnie
double-breasted;dwurzędowy
double-check;sprawdzać powtórnie
double-cross;postępować fałszywie
double-decker;autobus piętrowy
double-glazing;podwójne oszklenie
doubly;podwójnie
doubt;zwątpienie
doubtless;z pewnością
dough;ciasto
doughnut;donat
dour;ponury
douse;gasić
dove;gołąb
dowdy;niemodny
down;w dole
down-and-out;rozbitek życiowy
down-at-heel;zdarty
downcast;przygnębiony
downfall;upadek
downgrade;pomniejszać znaczenie
downhearted;przygnębiony
downhill;spadzisty
download;przesyłać do bufora
downpour;ulewa
downright;zupełnie
downstairs;na dół
downstream;w dół
down-to-earth;życiowy
downtown;do centrum
downtrodden;zdeptany
downward;w dół
downwind;wraz z wiatrem
downy;puszysty
dowry;wiano
doz.;tuzin
doze;drzemać
dozen;tuzin
dozy;śpiący
D.Phil.;doktor filozofii
Dr.;dr
drab;szary
draconian;drakoński
draft;szkic
dragon;smok
dragonfly;ważka
drain;ociekać
drainage;kanalizacja
drainpipe;rynna
drake;kaczor
drama;dramat
dramatic;dramatyczny
dramatist;dramaturg
dramatize;przerabiać na utwór sceniczny
drape;drapować
draper;sprzedawca tekstyliów
drapery;draperie
drastic;drastyczny
draughtsman;kreślarz
draughty;przewiewny
drawback;wada
drawer;szuflada
drawing;rysunek
drawl;zaciągać
drawn;zaciągnięty
dread;bać się
dreadful;okropny
dream;śnić
dreamer;marzyciel
dreamy;marzycielski
dreary;ponury
dredge;pogłębiać
dregs;fusy
drenched;przemoczony
Dresden;Drezno
dress;sukienka
dress-circle;balkon
dresser;komoda
dressing;opatrunek
dressing-down;bura
dressmaker;krawcowa
dribble;ściekać
dried;suszony
drift;dryfować
driftwood;drewno
drill;świder
drink;pić
drinker;alkoholik
drip;kapać
drive;prowadzić
drive-in;dla zmotoryzowanych
drivel;bzdura
driver;kierowca
driveway;podjazd
driving;jazda
drizzle;mżawka
droll;zabawny
dromedary;dromader
drone;huczeć
drool;ślinić się
droop;zwisać
drop;upuszczać
drop-out;dziwadło
droppings;odchody
dross;śmiecie
drought;susza
drove;stada
drown;topić się
drowse;drzemać
drowsy;senny
drudge;wół roboczy
drudgery;harówka
drug;lekarstwo
druggist;aptekarz
drum;bęben
drummer;perkusista
drunk;pijany
drunkard;pijak
drunken;pijacki
dry;suszyć się
dry-clean;czyścić chemicznie
dryer;suszarka
D.Sc.;doktor nauk ścisłych
DTP;mała poligrafia
dual;podwójny
dub;nazywać
dubious;podejrzany
duchess;księżna
duck;kaczka
duckling;kaczątko
duct;przewód
duel;pojedynek
duet;duet
duffel coat;skafander
duke;książę
dulcet;miodopłynny
dull;nudny
duly;prawidłowo
dumb;niemy
dumbfounded;oniemiały
dummy;smoczek
dump;składować
dumping ground;składowisko
dumpling;kluska
dumpy;przysadzisty
dunce;tuman
dune;wydma
dung;łajno
dungarees;ogrodniczki
dungeon;loch
dunk;maczać
dup.;duplikat
dupe;wrobić kogoś
duplicate;powielać
duplicator;powielacz
durability;wytrzymałość
durable;wytrzymały
duration;trwanie
during;podczas
dusk;zmierzch
dusky;ciemny
dust;pył
dustbin;kosz na śmieci
dustcart;śmieciarka
duster;ścierka do kurzu
dustman;śmieciarz
dustpan;śmietniczka
dust-up;sprzeczka
dusty;zakurzony
Dutch;holenderski
Dutchman;Holender
Dutchwoman;Holenderka
dutiable;podlegający cłu
dutiful;obowiązkowy
duty;obowiązek
duty-free;bezcłowy
duvet;pierzyna
dwarf;przygniatać
dwell;zamieszkiwać
dweller;mieszkaniec
dwelling;domostwo
dwindle;kurczyć się
dye;barwić
dying;umierający
dyke;grobla
dynamic;dynamiczny
dynamism;dynamiczność
dynamite;dynamit
dynamo;dynamo
dynastic;dynastyczny
dynasty;dynastia
dysentery;dyzenteria
dyspepsia;niestrawność
dyspeptic;cierpiący na niestrawność
E;wschód
each;każdy
eager;chętny
eagle;orzeł
ear;ucho
eardrum;bębenek uszny
earl;hrabia
earlier;wcześniej
earlobe;płatek ucha
earmarked;zarezerwowany
earn;zarabiać na
earnest;poważny
earnings;zarobki
earphone;słuchawka
earplug;zatyczka do ucha
earring;kolczyk
earshot;w zasięgu słuchu
earsplitting;rozdzierający uszy
earthen;gliniany
earthenware;gliniany
earthly;ziemski
earthquake;trzęsienie ziemi
earthworm;dżdżownica
earthy;bezwstydny
ease;łatwość
easel;sztalugi
easily;łatwo
east;wschód
Easter;Wielkanoc
easterly;wschodni
eastern;wschodni
eastward;na wschód
easy;łatwy
easy-going;spokojny
eat;jeść
eatable;jadalny
eater;ktoś
eaves;okap domu
eavesdrop;podsłuchiwać
ebb;odpływać
ebony;heban
ebullient;entuzjastyczny
EC;Wspólnota Europejska
eccentric;ekscentryczny
ecclesiastical;eklezjastyczny
echo;echo
éclair;eklerka
eclectic;eklektyczny
eclipse;zaćmienie
ecologist;ekolog
ecology;ekologia
economic;ekonomiczny
economical;oszczędny
economist;ekonomista
economize;oszczędzać
economy;gospodarka
ecstasy;ekstaza
ecstatic;ekstatyczny
ecumenical;ekumeniczny
ecumenism;ekumenizm
eczema;egzema
ed.;wyd.
eddy;wirować
edge;krawędź
edgeways;ku krawędzi
edging;obramowanie
edgy;drażliwy
edible;jadalny
edict;edykt
edifice;budynek
edify;pouczać
Edinburgh;Edynburg
edit;redagować
edit.;wyd.
edition;wydanie
editor;redaktor naczelny
editorial;redakcyjny
editorship;redakcja
EDP;elektroniczne opracowanie danych
educ.;wykształcenie
educate;kształcić
education;szkolnictwo
educational;edukacyjny
educationalist;metodyk
educator;wychowawca
EEC;EWG Europejska Wspólnota Gospodarcza
eel;węgorz
eerie;niesamowity
efface;wymazywać
effect;skutek
effective;efektywny
effeminate;zniewieściały
efficient;wydajny
effigy;wizerunek
effluent;ściek
effort;wysiłek
effortless;bez wysiłku
effrontery;bezczelność
EFL;angielski jako język obcy
EFTA;Europejskie Stowarzyszenie Wolnego Handlu
e.g.;np.
egalitarian;egalitarny
egg;jajko
eggcup;kieliszek do jajek
egghead;jajogłowy
eggplant;bakłażan
eggshell;skorupka jajka
egoist;egoistyczny
egoistic;egoistyczny
Egypt;Egipt
Egyptian;egipski
eh;co?
eiderdown;pierzyna
eight;osiem
eighteen;osiemnaście
eighteenth;osiemnasty
eighth;ósmy
eightieth;osiemdziesiąty
eighty;osiemdziesiąt
Eire;Irlandia Republika Irlandzka
either;jeden z dwóch
eject;wyrzucać
eke out;podtrzymywać
elaborate;skomplikowany
elapse;upływać
elastic;guma
elated;podniecony
elation;podniecenie
elbow;łokieć
elder;starszy
elderly;starszy
eldest;najstarszy
elect;wybierać
election;wybory
elector;wyborca
electoral;wyborczy
electorate;elektorat
electric;elektryczny
electrical;elektryczny
electrician;elektryk
electricity;elektryczność
electrify;elektryzować
electrocute;śmiertelnie porazić prądem
electrode;elektroda
electron;elektron
electronic;elektroniczny
electronics;elektronika
elegant;elegancki
elegy;elegia
element;element
elemental;żywiołowy
elementary;elementarny
elephant;słoń
elevate;wywyższać
elevated;wysoko postawiony
elevation;wyniesienie
elevator;winda
eleven;jedenaście
eleventh;jedenasty
elf;elf
elicit;wywoływać
eligible;kwalifikujący się
eliminate;eliminować
elite;elita
elitism;elitarność
elixir;eliksir
elk;łoś
ellipse;elipsa
elliptic;eliptyczny
elm;wiąz
elocution;dobra wymowa
elongated;wydłużony
elope;uciekać, by wziąć ślub
eloquent;wymowny
else;inny
elsewhere;gdzie indziej
elucidate;wyjaśniać
elude;umykać
elusive;nieuchwytny
emaciated;wychudzony
E-mail;poczta elektroniczna
emanate;emanować
emancipate;emancypować
emancipation;emancypacja
embalm;balsamować
embankment;nasyp
embargo;embargo
embark;zaczynać
embarrass;kłopotać
embarrassed;zakłopotany
embarrassing;kłopotliwy
embarrassment;zakłopotanie
embassy;ambasada
embattled;osaczony
embedded;uwięzły
embellish;upiększać
ember;żar
embezzle;sprzeniewierzać
embitter;gorzknieć
emblazoned;ozdobiony
emblem;godło
embodiment;uosobienie
embody;ucieleśniać
emboldened;ośmielony
embossed;tłoczony
embrace;obejmować
embroider;wyszywać
embroidery;wyszywanie
embroil;wdawać się
embryo;embrion
embryonic;zarodkowy
emerald;szmaragd
emerge;wyłaniać się
emergency;nagły wypadek
emergent;pojawiający się
emigrate;emigrować
emigration;emigracja
émigré;emigrant polityczny
eminence;znakomitość
eminent;wybitny
eminently;w większości
emissary;emisariusz
emission;emisja
emit;wydzielać
emotion;emocja
emotional;emocjonalny
emotive;odwołujący się do uczuć
Emp.;cesarz
empathy;wczucie się
emperor;cesarz
emphasis;znaczenie
emphasize;podkreślać
emphatic;dobitny
empire;imperium
empirical;empiryczny
empiricism;empiria
employ;zatrudniać
employee;pracownik
employer;pracodawca
employment;zatrudnienie
empower;upoważniać
empress;cesarzowa
emptiness;pustka
empty;pusty
empty-handed;z pustymi rękoma
emulate;naśladować
enable;pozwalać
enact;nadawać moc prawną
enamel;emalia
enamoured;rozmiłowany
enc.;zał.
encapsulate;zwięźle obejmować
encase;okrywać
enchanted;oczarowany
encircle;otaczać
encl.;zał.
enclave;enklawa
enclose;zawierać
enclosure;ogrodzony teren
encode;kodować
encompass;obejmować
encore;bis
encounter;napotykać
encourage;zachęcać
encouraging;ośmielający
encroach;naruszać
encrusted;inkrustowany
encumber;obarczać
encumbrance;obciążenie
encyclopedia;encyklopedia
end;koniec
endanger;zagrażać
endear;czynić miłym
endeavour;usiłować
endemic;endemiczny
ending;zakończenie
endless;bezustanny
endorse;popierać
endow;obdarzać
endurable;wytrzymały
endurance;wytrzymałość
endure;wytrzymywać
enemy;wróg
energetic;energiczny
energy;energia
enfold;otaczać
enforce;wprowadzać w życie
Eng.;Anglia
eng.;inż.
engage;angażować się
engaged;zaręczony
engagement;spotkanie
engender;powodować
engine;silnik
engineering;inżynieria
England;Anglia
Englander;Anglik
English;angielski
Englishman;Anglik
Englishwoman;Angielka
engrave;grawerować
engraving;rycina
engrossed;pogrążony
engulf;ogarniać
enhance;polepszać
enigma;zagadka
enigmatic;enigmatyczny
enjoy;lubić
enjoyable;przyjemny
enjoyment;radość
enlargement;powiększenie
enlighten;oświecać
enlightenment;oświecenie
enlist;zaciągać się
enliven;ożywiać
enmity;wrogość
ennoble;uszlachetniać
enormity;ogrom
enormous;gigantyczny
enough;wystarczająco
enrage;rozwścieczać
enrich;wzbogacać
enrol;zapisywać się
en route;po drodze
ensign;flaga
enslave;czynić niewolnikiem
ensue;następować
ensure;zapewniać
entail;pociągać za sobą
entangle;zaplątywać się
entanglement;poplątanie
enter;wchodzić
enterprise;firma
enterprising;przedsiębiorczy
entertain;zabawiać
entertainer;artysta kabaretowy
entertainment;rozrywka
enthuse;entuzjazmować się
enthusiasm;entuzjazm
enthusiast;entuzjasta
enthusiastic;entuzjastyczny
entice;wabić
entire;cały
entirety;w całości
entitle;tytułować
entitled;zatytułowany
entitlement;prawo
entity;jednostka
entourage;świta
entrails;wnętrzności
entrance;wejście
entrant;nowoprzyjęty
entrenched;zakorzeniony
entrepreneur;przedsiębiorca
entrust;powierzać
entry;zgłoszenie
entwine;splatać
enumerate;wyliczać
enunciate;starannie wymawiać
envelop;otulać
envelope;koperta
enviable;godny zazdrości
envious;zazdrosny
environment;otoczenie
environmental;przyrodniczy
environmentalist;ochroniarz przyrody
envisage;przewidywać
envoy;wysłannik dyplomatyczny
envy;zazdrościć
ephemeral;efemeryczny
epic;epopeja
epidemic;epidemia
epilepsy;epilepsja
epileptic;chory na padaczkę
epilogue;epilog
Episcopal;Episkopalny Kościół
episcopal;biskupi
Episcopalian;episkopalny
episode;epizod
epitaph;epitafium
epithet;epitet
epitome;wzór
epitomize;obrazować
epoch;epoka
equable;zrównoważony
equal;równy
equality;równość
equalize;zrównywać się
equally;równo
equanimity;pogoda ducha
equate;zrównywać
equation;równanie
equator;równik
equatorial;równikowy
equestrian;jeździecki
equidistant;odległy równo
equilibrium;równowaga
equinox;zrównanie dnia z nocą
equip;ekwipować się
equipment;wyposażenie
equitable;sprawiedliwy
equity;sprawiedliwość
equivalence;równoważność
equivalent;ekwiwalentny
equivocal;dwuznaczny
equivocate;wyrażać się dwuznacznie
ER;Królowa Elżbieta
er;e...
era;era
eradicate;wykorzeniać
erase;usuwać
eraser;gumka do wymazywania
erect;wznosić
erection;wzniesienie
erode;podminowywać
erosion;erozja
erotic;erotyczny
eroticism;erotyzm
err;błądzić
errand;sprawunek
erratic;zmienny
erroneous;błędny
error;błąd
erudite;erudycyjny
erupt;wybuchać
eruption;wybuch
escalate;wzmagać się
escalator;ruchome schody
escapade;eskapada
escape;unikać
escapism;eskapizm
escort;eskorta
ESL;angielski jako drugi język
